name,type,domain,reference_name
VNEXPRESS,Website,vnexpress.net,vnexpress
DANTRI,Website,dantri.com.vn,dantri
TUOITRE,Website,tuoitre.vn,tuoitre
VIETNAMNET,Website,vietnamnet.vn,vietnamnet
THANHNIEN,Website,thanhnien.vn,thanhnien
LAODONG,Website,laodong.vn,laodong
ZINGNEWS,Website,zingnews.vn,zingnews
PHAPLUAT,Website,plo.vn,plo
TIENPHONG,Website,tienphong.vn,tienphong
NGUOILAODONG,Website,nld.com.vn,nld
VTCNEWS,Website,vtc.vn,vtc
BAODAUTU(VIR),Website,vir.com.vn,vir
CAFEF,Website,cafef.vn,cafef
CAFEBIZ,Website,cafebiz.vn,cafebiz
BAOCONGTHUONG,Website,congthuong.vn,congthuong
SUCKHOE&DOISONG,Website,suckhoedoisong.vn,suckhoedoisong
KENH14,Website,kenh14.vn,kenh14
EVA,Website,eva.vn,eva
GIADINH&XAHOI,Website,giadinh.suckhoedoisong.vn,giadinh
BAOGIAOTHONG,Website,baogiaothong.vn,baogiaothong
BAOTINTUC(TTXVN),Website,baotintuc.vn,baotintuc
VOV,Website,vov.vn,vov
QUANDOINHANDAN,Website,qdnd.vn,qdnd
CONGANTPHCM,Website,congan.com.vn,congan
CONGLY,Website,congly.vn,congly
NHIPCAUDAUTU,Website,nhipcaudautu.vn,nhipcaudautu
DIENDANDOANHNGHIEP,Website,diendandoanhnghiep.vn,diendandoanhnghiep
NHADAUTU,Website,nhadautu.vn,nhadautu
REATIMES,Website,reatimes.vn,reatimes
BNEWS,Website,bnews.vn,bnews
BAOCHINHPHU,Website,baochinhphu.vn,baochinhphu
NHANDAN,Website,nhandan.vn,nhandan
VTVNEWS,Website,vtv.vn,vtv
HANOIMOI,Website,hanoimoi.vn,hanoimoi
HAIQUAN,Website,haiquanonline.com.vn,haiquanonline
BAODAKLAK,Website,baodaklak.vn,baodaklak
BINHDUONG,Website,baobinhduong.vn,baobinhduong
SGGP,Website,www.sggp.org.vn,sggp
TAINGUYEN&MOITRUONG,Website,baotainguyenmoitruong.vn,baotainguyenmoitruong
XAYDUNG,Website,baoxaydung.com.vn,baoxaydung
VIETNAMFINANCE,Website,vietnamfinance.vn,vietnamfinance
THELEADER,Website,theleader.vn,theleader
DOISONG&PHAPLUAT,Website,www.doisongphapluat.com,doisongphapluat
VIETNAMPLUS,Website,www.vietnamplus.vn,vietnamplus
TOQUOC,Website,toquoc.vn,toquoc
NONGNGHIEPVN,Website,nongnghiep.vn,nongnghiep
GIAODỤC&THOIĐAI,Website,giaoducthoidai.vn,giaoducthoidai
BARIAVUNGTAU,Website,baobariavungtau.com.vn,baobariavungtau
SAIGONTIEPTHI,Website,www.sgtiepthi.vn,saigontiepthi
VIETNAMINVESTMENTREVIEW,Website,vir.com.vn,vietnaminvestmentreview
