name,type,domain,reference_name
AN NINH THE GIOI,Báo (Newspaper),,
AN NINH THU DO,Báo (Newspaper),,
BAO VE PHAP LUAT,Báo (Newspaper),,
BINH DINH,Báo (Newspaper),,
BINH DUONG,Báo (Newspaper),,
BONG DA,Báo (Newspaper),,
BUU DIEN VIET NAM,Báo (Newspaper),,
CAN THO,Báo (Newspaper),,
CONG AN NHAN DAN,Báo (Newspaper),,
CONG AN THANH PHO DA NANG,Báo (Newspaper),,
CONG AN TP.HCM,Báo (Newspaper),,
CONG THUONG,Báo (Newspaper),,
DA NANG,Báo (Newspaper),,
DAI DOAN KET,Báo (Newspaper),,
DAU THAU,Báo (Newspaper),,
DAU TU,Báo (Newspaper),,
DIEN DAN DOANH NGHIEP,Báo (Newspaper),,
DOI SONG & PHAP LUAT,Báo (Newspaper),,
DONG NAI,Báo (Newspaper),,
GIAO DUC & THOI DAI (NGAY),Báo (Newspaper),,
GIAO DUC TPHCM,Báo (Newspaper),,
GIAO THONG,Báo (Newspaper),,
HA NOI MOI,Báo (Newspaper),,
HA NOI MOI CUOI TUAN,Báo (Newspaper),,
HA TINH,Báo (Newspaper),,
KHOA HOC & DOI SONG,Báo (Newspaper),,
KHOA HOC PHO THONG,Báo (Newspaper),,
KIEN GIANG,Báo (Newspaper),,
KINH TE & DO THI,Báo (Newspaper),,
KINH TE & DO THI CUOI TUAN,Báo (Newspaper),,
KINH TE VIETNAM - THE GIOI,Báo (Newspaper),,
LAM DONG,Báo (Newspaper),,
LAO DONG,Báo (Newspaper),,
LAO DONG CUOI TUAN,Báo (Newspaper),,
LAO DONG THU DO,Báo (Newspaper),,
LAO DONG XA HOI,Báo (Newspaper),,
LONG AN,Báo (Newspaper),,
NGUOI HA NOI,Báo (Newspaper),,
NGUOI LAO DONG,Báo (Newspaper),,
NHA BAO & CONG LUAN,Báo (Newspaper),,
NHAN DAN,Báo (Newspaper),,
NINH THUAN,Báo (Newspaper),,
NONG NGHIEP VIET NAM,Báo (Newspaper),,
NONG THON NGAY NAY,Báo (Newspaper),,
PHAP LUAT & XA HOI,Báo (Newspaper),,
PHAP LUAT TPHCM,Báo (Newspaper),,
PHAP LUAT VIET NAM,Báo (Newspaper),,
PHU NU THU DO,Báo (Newspaper),,
PHU NU TPHCM,Báo (Newspaper),,
PHU NU VIET NAM,Báo (Newspaper),,
QUAN DOI NHAN DAN,Báo (Newspaper),,
SAI GON DAU TU TAI CHINH,Báo (Newspaper),,
SAI GON GIAI PHONG,Báo (Newspaper),,
SUC KHOE & DOI SONG,Báo (Newspaper),,
TAP CHI KINH TE VIET NAM,Báo (Newspaper),,
THANH HOA,Báo (Newspaper),,
THANH NIEN,Báo (Newspaper),,
THE GIOI & VIET NAM,Báo (Newspaper),,
THE THAO & VAN HOA,Báo (Newspaper),,
THE THAO TPHCM,Báo (Newspaper),,
THI TRUONG TAI CHINH & TIEN TE,Báo (Newspaper),,
THOI BAO KINH DOANH,Báo (Newspaper),,
THOI BAO NGAN HANG,Báo (Newspaper),,
THOI BAO TAI CHINH VIET NAM,Báo (Newspaper),,
TIEN PHONG,Báo (Newspaper),,
TUAN TIN TUC,Báo (Newspaper),,
TUOI TRE,Báo (Newspaper),,
TUOI TRE THU DO,Báo (Newspaper),,
TUYEN QUANG,Báo (Newspaper),,
VAN HOA,Báo (Newspaper),,
VIETNAM INVESTMENT REVIEW,Báo (Newspaper),,
VIETNAM NEWS,Báo (Newspaper),,
VINH PHUC,Báo (Newspaper),,
VOV (TIENG NOI VIET NAM),Báo (Newspaper),,
VTV TRUYEN HINH,Báo (Newspaper),,
XAY DUNG,Báo (Newspaper),,
YEN BAI,Báo (Newspaper),,
BEAUTY LIFE,Tạp chí (Magazine),,
DAU TU CHUNG KHOAN,Tạp chí (Magazine),,
DEP,Tạp chí (Magazine),,
DOANH NGHIEP & TIEP THI,Tạp chí (Magazine),,
DOANH NHAN - DDDN,Tạp chí (Magazine),,
DOANH NHAN & PHAP LUAT,Tạp chí (Magazine),,
DOANH NHAN SAI GON,Tạp chí (Magazine),,
ELLE (PHAI DEP),Tạp chí (Magazine),,
ELLE DECORATION,Tạp chí (Magazine),,
ELLE MAN (PHAI MANH),Tạp chí (Magazine),,
FORBES VIETNAM,Tạp chí (Magazine),,
GIA DINH VIET NAM,Tạp chí (Magazine),,
GIAO DUC & THOI DAI (THANG),Tạp chí (Magazine),,
GIAO DUC & THOI DAI (TUAN),Tạp chí (Magazine),,
GOLF VIET NAM,Tạp chí (Magazine),,
HA NOI NGAY NAY,Tạp chí (Magazine),,
HARPER'S BAZAAR,Tạp chí (Magazine),,
HERITAGE,Tạp chí (Magazine),,
HERITAGE FASHION,Tạp chí (Magazine),,
HOA HOC TRO (HHT1),Tạp chí (Magazine),,
