name,type,domain,reference_name
VNEXPRESS,Website,vnexpress.net,vnexpress
DANTRI,Website,dantri.com.vn,dantri
TUOITREONLINE,Website,tuoitre.vn,tuoitre
THANHNIENONLINE,Website,thanhnien.vn,thanhnien
ZNEWS,Website,znews.vn,zingnews
VIETNAMNET,Website,vietnamnet.vn,vietnamnet
KENH14,Website,kenh14.vn,kenh14
24H,Website,24h.com.vn,24h
EVA,Website,eva.vn,eva
ALOBACSI,Website,alobacsi.com,alobacsi
SUCKHOEDOISONG,Website,suckhoedoisong.vn,suckhoedoisong
NGOISAONET,Website,ngoisao.vnexpress.net,ngoisao
AFAMILY,Website,afamily.vn,afamily
SOHA,Website,soha.vn,soha
TRETHO,Website,webtretho.com,tretho
PHUNU,Website,phunuonline.com.vn,phunuonline
SAIGONTIMESONLINE,Website,thesaigontimes.vn,saigontimes
NHIPCAUDAUTU,Website,nhipcaudautu.vn,nhipcaudautu
DOANHNHANSAIGON,Website,doanhnhansaigon.vn,doanhnhansaigon
CAFEF,Website,cafef.vn,cafef
CAFEBIZ,Website,cafebiz.vn,cafebiz
BRANDSVIETNAM,Website,brandsvietnam.com,brandsvietnam
ADVERTISINGSVIETNAM,Website,advertisingvietnam.com,advertisingvietnam
NONGNGHIEPONLINE,Website,nongnghiepmoitruong.vn,nongnghiepmoitruong
